#t.c
0,0
0.0572619158,0.0737952135
0.1145235406,0.143860705
0.1717841297,0.2195207794
0.229044601,0.3029067066
0.2863058496,0.393485669
0.343568789,0.4939217537
0.4008291842,0.6103423613
0.458089648,0.7155738029
0.5153493917,0.8226701055
0.5726095584,0.9236390077
0.6298690122,1.0259399534
0.6871288883,1.1261096295
0.7443865463,1.2257464881
0.8016468113,1.3208543986
0.8589071986,1.4164951266
0.9161679114,1.5044100018
0.9734279885,1.5798036676
1.0306876041,1.6480042981
1.0879474935,1.7084790759
1.1452074972,1.7620272272
1.2024672322,1.8083823433
1.259727012,1.8470116066
1.3169867129,1.8787142435
1.3742467575,1.9042894799
1.4315067943,1.923737316
1.4887664298,1.9378569777
1.5460260035,1.9474476914
1.6032841254,1.9533086831
1.6605438592,1.9573048138
1.7178034413,1.9618337619
1.7750632323,1.9660963013
1.8323232325,1.971957293
1.8895829658,1.9823472328
1.9468425406,1.9956676684
2.0041019876,2.0151155045
2.0613616524,2.0401579235
2.1186210567,2.0729261952
2.17588055,2.1160844067
2.2331399757,2.1643043837
2.2903994586,2.219717396
2.3476586843,2.2825898523
2.404917721,2.3526553438
2.4621771642,2.4293810531
2.5194364591,2.5117013454
2.5766971466,2.5998826293
2.6339565392,2.6912608179
2.6912160794,2.7869015458
2.7484755382,2.8857391783
2.8057421499,2.9856424456
2.8630018793,3.0868777565
2.9202616346,3.18758025
2.9775218702,3.2898811958
3.0347817776,3.3863211499
3.0920412064,3.4779657471
3.1493007513,3.5648149875
3.2065600521,3.6463360537
3.2638197122,3.7195984497
3.3210795748,3.7875326715
3.3783390135,3.8472082232
